,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
697,15.0,Charlotte Hornets*,82,241.5,37.3,81.1,0.46,5.9,16.6,0.357,31.3,64.5,0.486,16.5,22.6,0.73,13.1,27.5,40.6,21.7,6.5,4.1,13.9,21.7,97.0
698,16.0,Milwaukee Bucks,82,240.6,36.6,77.5,0.472,4.5,13.2,0.342,32.1,64.3,0.499,19.6,26.8,0.731,11.9,27.5,39.4,22.2,8.4,4.8,14.6,21.7,97.2
699,17.0,Minnesota Timberwolves*,82,241.2,35.9,79.7,0.45,5.7,15.7,0.362,30.2,64.0,0.472,20.1,26.6,0.754,13.0,28.8,41.9,21.8,8.0,5.4,15.6,22.3,97.6
700,18.0,Washington Bullets*,82,242.1,36.7,80.9,0.454,6.0,16.2,0.371,30.7,64.8,0.474,18.3,24.4,0.749,12.5,28.5,41.0,20.4,8.1,4.1,16.5,21.6,97.7
701,19.0,San Antonio Spurs,82,240.6,36.6,77.8,0.471,6.7,17.4,0.387,29.9,60.4,0.495,18.4,24.9,0.738,12.8,28.1,40.9,23.8,8.1,5.5,14.4,20.1,98.3
702,20.0,Toronto Raptors,82,241.8,36.2,77.9,0.465,6.1,17.4,0.348,30.2,60.5,0.498,20.1,27.7,0.724,12.6,28.7,41.3,24.0,8.2,5.4,16.3,21.9,98.6
703,21.0,Vancouver Grizzlies,82,241.2,37.7,80.0,0.472,6.1,16.7,0.365,31.6,63.3,0.5,17.9,24.6,0.727,14.7,29.6,44.3,24.1,8.8,5.6,15.3,19.4,99.4
704,22.0,Los Angeles Clippers*,82,243.0,36.3,78.6,0.462,5.9,16.4,0.357,30.4,62.2,0.489,21.1,28.2,0.749,12.8,29.9,42.7,20.2,9.0,5.1,16.7,22.7,99.5
705,23.0,Sacramento Kings,82,242.1,36.7,79.5,0.462,5.4,15.3,0.352,31.3,64.2,0.488,21.0,28.5,0.737,13.0,28.5,41.5,21.7,8.7,5.2,15.3,21.8,99.8
706,24.0,New Jersey Nets,82,241.2,37.8,81.5,0.464,6.3,17.0,0.372,31.5,64.5,0.488,19.9,26.6,0.745,13.0,30.0,43.0,23.5,8.2,6.3,15.3,21.7,101.8
707,25.0,Phoenix Suns*,82,242.1,38.8,83.1,0.467,6.6,18.0,0.368,32.2,65.1,0.494,17.9,24.2,0.739,12.8,30.0,42.8,24.3,8.1,4.5,15.8,22.4,102.2
708,26.0,Denver Nuggets,82,243.0,40.2,86.1,0.467,5.9,15.0,0.393,34.3,71.1,0.482,17.8,23.7,0.75,13.2,30.0,43.2,22.5,8.8,5.5,12.9,21.0,104.1
709,27.0,Golden State Warriors,82,242.7,39.0,82.1,0.475,7.1,19.0,0.373,31.9,63.1,0.506,19.2,25.6,0.75,13.3,27.7,41.0,26.3,10.0,4.8,15.7,23.0,104.4
710,28.0,Philadelphia 76ers,82,241.2,40.4,85.9,0.47,6.8,18.6,0.365,33.6,67.3,0.5,19.1,26.0,0.733,14.5,29.9,44.4,25.2,10.0,6.0,15.6,24.5,106.7
711,29.0,Boston Celtics,82,242.7,41.0,81.7,0.503,6.0,16.5,0.365,35.0,65.2,0.537,19.8,27.5,0.72,12.3,32.0,44.3,26.0,8.8,6.8,17.6,22.3,107.9
712,1.0,Cleveland Cavaliers*,82,241.8,32.6,70.6,0.462,6.3,16.1,0.388,26.4,54.5,0.484,17.1,22.5,0.759,10.7,26.4,37.1,22.2,6.1,4.1,15.6,20.3,88.5
713,2.0,Chicago Bulls*,82,240.6,35.1,78.4,0.448,5.3,15.2,0.35,29.8,63.2,0.472,17.4,24.2,0.717,12.0,26.0,38.0,19.4,7.3,3.8,17.1,22.6,92.9
714,3.0,Detroit Pistons*,82,241.8,34.5,77.7,0.443,6.2,16.8,0.366,28.3,60.9,0.465,17.8,24.9,0.715,11.8,27.7,39.4,21.1,6.8,4.7,14.1,23.0,92.9
715,4.0,New York Knicks*,82,241.8,34.9,78.9,0.442,5.4,16.0,0.337,29.5,62.9,0.468,19.8,26.7,0.74,12.1,29.6,41.7,20.4,8.0,3.4,15.8,21.5,94.9
716,5.0,Miami Heat*,82,241.2,33.3,76.9,0.434,5.4,15.1,0.361,27.9,61.8,0.452,22.9,30.5,0.752,12.0,28.2,40.2,20.1,8.1,4.9,15.7,24.8,95.0
717,6.0,Utah Jazz*,82,241.2,33.5,75.3,0.445,6.7,17.4,0.385,26.8,57.9,0.463,22.2,29.5,0.751,11.4,26.2,37.6,20.0,7.1,5.0,15.7,24.2,95.9
718,7.0,Indiana Pacers*,82,240.9,34.6,76.7,0.452,6.0,16.7,0.36,28.6,60.0,0.477,20.8,28.1,0.74,12.2,25.0,37.3,21.0,8.1,5.1,15.4,24.9,96.1
719,8.0,Seattle SuperSonics*,82,242.4,35.0,79.9,0.438,6.5,18.7,0.348,28.5,61.2,0.466,20.2,28.2,0.716,13.1,27.5,40.6,21.7,9.2,4.8,18.5,24.5,96.7
720,9.0,Portland Trail Blazers*,82,242.7,36.0,81.4,0.442,5.8,16.5,0.348,30.3,64.9,0.466,19.2,25.9,0.74,11.4,28.2,39.6,22.2,8.6,5.0,14.5,24.3,97.0
721,10.0,Atlanta Hawks*,82,240.6,37.1,78.3,0.474,5.8,16.2,0.36,31.3,62.1,0.504,17.0,22.7,0.746,12.9,28.0,40.8,22.5,7.1,4.1,17.1,22.0,97.1
722,11.0,San Antonio Spurs*,82,241.2,36.8,83.7,0.439,5.4,16.3,0.33,31.4,67.4,0.466,18.1,24.8,0.73,13.5,30.2,43.7,22.5,7.4,5.2,15.3,24.0,97.1
723,12.0,New Jersey Nets,82,242.7,36.7,80.8,0.454,6.6,17.3,0.384,30.0,63.5,0.473,18.0,24.3,0.74,12.5,28.7,41.3,22.9,8.1,6.3,15.5,23.5,97.9
724,13.0,Los Angeles Lakers*,82,240.0,38.0,83.0,0.458,5.4,14.7,0.367,32.6,68.3,0.478,17.0,23.1,0.738,14.0,28.2,42.2,24.5,7.2,5.9,16.3,22.0,98.5
725,14.0,Orlando Magic*,82,242.1,37.3,82.1,0.454,6.0,16.5,0.366,31.3,65.6,0.477,18.3,24.8,0.736,13.3,28.8,42.1,22.8,7.9,4.0,15.1,22.3,99.0
726,15.0,Vancouver Grizzlies,82,242.4,37.6,79.1,0.475,5.6,15.0,0.374,32.0,64.1,0.498,19.0,26.0,0.733,13.4,31.1,44.5,24.2,8.5,5.8,17.4,21.8,99.8
727,16.0,Denver Nuggets,82,241.8,37.7,82.2,0.459,5.5,15.1,0.367,32.2,67.1,0.479,19.5,25.7,0.76,11.4,29.1,40.5,22.9,7.5,5.1,13.8,23.2,100.4
728,17.0,Houston Rockets*,82,241.5,38.8,84.3,0.46,5.9,16.4,0.359,32.9,67.9,0.484,17.4,24.5,0.707,13.7,30.5,44.2,23.7,8.2,4.9,14.9,22.5,100.7
729,18.0,Milwaukee Bucks,82,240.6,37.6,78.3,0.48,6.3,15.8,0.397,31.3,62.5,0.501,19.4,26.7,0.725,12.2,28.1,40.3,23.7,7.9,4.5,14.8,21.4,100.9
730,19.0,Washington Bullets,82,241.5,37.3,81.1,0.46,4.6,13.5,0.342,32.7,67.6,0.484,22.2,29.0,0.766,13.5,28.9,42.4,20.6,8.5,4.8,16.6,23.1,101.5
731,20.0,Sacramento Kings*,82,240.9,36.4,78.8,0.462,5.6,14.8,0.379,30.8,64.0,0.482,23.8,31.7,0.751,12.9,28.2,41.1,22.0,9.4,6.2,16.5,24.5,102.3
732,21.0,Los Angeles Clippers,82,240.6,37.7,78.9,0.478,5.4,14.6,0.372,32.3,64.3,0.502,22.2,29.8,0.746,12.6,28.8,41.4,20.2,8.4,4.9,16.5,22.7,103.0
733,22.0,Golden State Warriors,82,240.9,39.1,82.4,0.475,5.8,16.0,0.365,33.3,66.4,0.501,19.1,25.6,0.746,13.6,28.0,41.5,25.6,8.5,4.7,16.8,23.9,103.1
734,23.0,Minnesota Timberwolves,82,241.2,37.6,80.3,0.469,6.5,17.0,0.38,31.2,63.3,0.492,21.5,28.9,0.744,12.6,28.3,40.9,24.0,8.8,6.1,16.4,23.7,103.2
735,24.0,Charlotte Hornets,82,242.4,39.7,81.1,0.489,6.5,16.3,0.396,33.2,64.8,0.513,17.6,23.9,0.736,11.6,28.8,40.4,25.0,6.5,4.5,14.8,22.3,103.4
736,25.0,Phoenix Suns*,82,243.4,39.2,83.4,0.471,6.7,18.2,0.369,32.5,65.2,0.499,18.8,25.4,0.739,12.2,29.0,41.3,25.5,7.1,5.1,14.5,24.5,104.0
737,26.0,Philadelphia 76ers,82,240.6,40.0,82.9,0.483,6.4,17.3,0.37,33.6,65.5,0.513,18.0,24.2,0.741,14.2,30.2,44.4,25.7,8.8,5.7,15.7,23.3,104.5
738,27.0,Toronto Raptors,82,241.8,38.4,80.8,0.475,6.3,17.3,0.367,32.0,63.5,0.504,21.9,29.5,0.745,13.4,27.7,41.1,24.3,9.3,5.9,16.2,21.2,105.0
739,28.0,Boston Celtics,82,242.7,40.2,83.6,0.481,5.1,14.2,0.357,35.1,69.4,0.506,21.5,28.9,0.747,12.7,31.6,44.3,23.4,8.1,6.0,16.0,24.0,107.0
740,29.0,Dallas Mavericks,82,243.0,41.5,84.4,0.492,5.7,14.5,0.394,35.8,69.9,0.512,18.7,25.6,0.732,13.3,33.2,46.5,24.1,8.6,6.5,16.4,22.5,107.5
741,1.0,Cleveland Cavaliers*,82,243.0,34.2,74.2,0.461,4.8,13.5,0.357,29.4,60.7,0.484,16.6,22.0,0.757,10.4,27.4,37.8,22.1,6.8,5.3,14.8,21.6,89.8
742,2.0,New York Knicks*,82,241.2,34.1,78.2,0.437,4.8,14.2,0.341,29.3,64.0,0.458,22.0,29.9,0.736,12.5,28.3,40.7,19.3,7.8,4.0,15.4,23.3,95.1
743,3.0,Atlanta Hawks*,82,242.1,36.6,79.1,0.463,5.1,14.8,0.347,31.5,64.3,0.489,17.0,23.4,0.726,12.8,29.2,42.0,21.1,7.4,3.9,16.6,22.1,95.3
744,4.0,Indiana Pacers*,82,241.2,35.6,78.1,0.456,5.8,15.9,0.364,29.8,62.2,0.479,18.5,25.5,0.726,12.8,26.3,39.1,22.0,8.4,5.1,16.7,25.1,95.5
